日期,销量
2020-01-01,519
2020-01-02,530
2020-01-03,541
2020-01-04,552
2020-01-05,567
2020-01-06,558
2020-01-07,549
2020-01-08,560
2020-01-09,569
2020-01-10,583
2020-01-11,596
2020-01-12,576
2020-01-13,588
2020-01-14,592
2020-01-15,596
2020-01-16,612
2020-01-17,620
2020-01-18,600
2020-01-19,629
2020-01-20,631
2020-01-21,641
2020-01-22,634
2020-01-23,618
2020-01-24,640
2020-01-25,637
2020-01-26,646
2020-01-27,640
2020-01-28,651
2020-01-29,666
2020-01-30,656
2020-01-31,673
2020-02-01,677
2020-02-02,704
2020-02-03,684
2020-02-04,718
2020-02-05,694
2020-02-06,705
2020-02-07,700
2020-02-08,724
2020-02-09,719
2020-02-10,719
2020-02-11,719
2020-02-12,747
2020-02-13,745
2020-02-14,735
2020-02-15,736
2020-02-16,760
2020-02-17,756
2020-02-18,771
2020-02-19,793
2020-02-20,797
2020-02-21,764
2020-02-22,795
2020-02-23,780
2020-02-24,789
2020-02-25,792
2020-02-26,795
2020-02-27,815
2020-02-28,800
2020-02-29,839
2020-03-01,846
2020-03-02,836
2020-03-03,857
2020-03-04,852
2020-03-05,850
2020-03-06,869
2020-03-07,852
2020-03-08,858
2020-03-09,858
2020-03-10,857
2020-03-11,884
2020-03-12,900
2020-03-13,889
2020-03-14,880
2020-03-15,904
2020-03-16,883
2020-03-17,929
2020-03-18,922
2020-03-19,929
2020-03-20,930
2020-03-21,945
2020-03-22,953
2020-03-23,936
2020-03-24,937
2020-03-25,926
2020-03-26,948
2020-03-27,951
2020-03-28,953
2020-03-29,966
2020-03-30,986
2020-03-31,998
2020-04-01,998
2020-04-02,979
2020-04-03,987
2020-04-04,997
2020-04-05,993
2020-04-06,1003
2020-04-07,1033
2020-04-08,1018
2020-04-09,1010
